repo_full_name,type,stars,python_pct,contributors,commits_last_90d,pushed_at,html_url,web_frameworks_detected,description
online-ml/river,library,5574,97.54,129,28,2025-10-05T08:35:18Z,https://github.com/online-ml/river,flask,🌊 Online machine learning in Python
traceloop/openllmetry,webapp,6463,99.99,88,123,2025-10-08T14:27:39Z,https://github.com/traceloop/openllmetry,fastapi,"Open-source observability for your GenAI or LLM application, based on OpenTelemetry"
facebookresearch/vggt,research project,11178,99.89,10,15,2025-09-01T03:24:05Z,https://github.com/facebookresearch/vggt,gradio,[CVPR 2025 Best Paper Award] VGGT: Visual Geometry Grounded Transformer
tadata-org/fastapi_mcp,library,10682,100.0,18,24,2025-09-08T14:32:19Z,https://github.com/tadata-org/fastapi_mcp,fastapi,"Expose your FastAPI endpoints as Model Context Protocol (MCP) tools, with Auth!"
tubearchivist/tubearchivist,webapp,7023,55.19,73,109,2025-10-09T03:34:40Z,https://github.com/tubearchivist/tubearchivist,django,Your self hosted YouTube media server
crazyguitar/pysheeet,webapp,8112,93.1,47,96,2025-09-23T14:50:25Z,https://github.com/crazyguitar/pysheeet,flask,Python Cheat Sheet
microsoft/RD-Agent,framework,8180,96.74,35,146,2025-10-09T06:01:28Z,https://github.com/microsoft/RD-Agent,"flask,streamlit","Research and development (R&D) is crucial for the enhancement of industrial productivity, especially in the AI era, where the core aspects of R&D are mainly focused on data and models. We are committed to automating these high-value generic R&D processes through R&D-Agent, which lets AI drive data-driven AI. 🔗https://aka.ms/RD-Agent-Tech-Report"
google/clusterfuzz,webapp,5480,87.48,99,78,2025-10-08T19:33:02Z,https://github.com/google/clusterfuzz,flask,Scalable fuzzing infrastructure.
PaddlePaddle/PaddleX,toolkit,5796,63.49,97,48,2025-09-24T07:00:56Z,https://github.com/PaddlePaddle/PaddleX,fastapi,All-in-One Development Tool based on PaddlePaddle
voicepaw/so-vits-svc-fork,webapp,9142,94.67,31,37,2025-10-09T01:02:35Z,https://github.com/voicepaw/so-vits-svc-fork,fastapi,"so-vits-svc fork with realtime support, improved interface and more features."
fishaudio/Bert-VITS2,model demo,8587,99.91,36,13,2025-10-06T19:21:34Z,https://github.com/fishaudio/Bert-VITS2,gradio,vits2 backbone with multilingual-bert
OpenGVLab/InternVL,research project,9295,52.75,19,20,2025-09-22T01:36:48Z,https://github.com/OpenGVLab/InternVL,"django,fastapi,gradio,streamlit",[CVPR 2024 Oral] InternVL Family: A Pioneering Open-Source Alternative to GPT-4o.  接近GPT-4o表现的开源多模态对话模型
QuentinFuxa/WhisperLiveKit,webapp,7615,88.71,33,113,2025-10-06T18:02:03Z,https://github.com/QuentinFuxa/WhisperLiveKit,fastapi,Real-time & local speech-to-text server.
guardrails-ai/guardrails,sdk,5760,69.84,71,65,2025-10-02T17:10:48Z,https://github.com/guardrails-ai/guardrails,"fastapi,flask",Adding guardrails to large language models.
google/adk-samples,collection,5518,86.6,69,65,2025-10-08T18:23:10Z,https://github.com/google/adk-samples,"fastapi,flask",A collection of sample agents built with Agent Development (ADK)
adamchainz/django-cors-headers,library,5522,100.0,70,12,2025-10-07T10:08:00Z,https://github.com/adamchainz/django-cors-headers,django,Django app for handling the server headers required for Cross-Origin Resource Sharing (CORS)
Arindam200/awesome-ai-apps,collection,6593,67.01,17,133,2025-10-08T22:58:46Z,https://github.com/Arindam200/awesome-ai-apps,"fastapi,flask,gradio,streamlit","A collection of projects showcasing RAG, agents, workflows, and other AI use cases"
liangliangyy/DjangoBlog,webapp,7171,85.05,25,33,2025-09-30T09:18:31Z,https://github.com/liangliangyy/DjangoBlog,django,🍺基于Django的博客系统
hanxi/xiaomusic,webapp,5524,98.58,51,66,2025-10-08T10:36:50Z,https://github.com/hanxi/xiaomusic,fastapi,使用小爱音箱播放音乐，音乐使用 yt-dlp 下载。
Zipstack/unstract,webapp,5839,81.13,24,113,2025-10-09T08:37:03Z,https://github.com/Zipstack/unstract,flask,No-code LLM Platform to launch APIs and ETL Pipelines to structure unstructured documents
X-PLUG/MobileAgent,webapp,5967,68.51,21,95,2025-09-28T03:16:54Z,https://github.com/X-PLUG/MobileAgent,fastapi,Mobile-Agent: The Powerful GUI Agent Family
BrainBlend-AI/atomic-agents,framework,5104,100.0,27,102,2025-09-25T13:11:23Z,https://github.com/BrainBlend-AI/atomic-agents,fastapi,"Building AI agents, atomically"
